provider_id,facility_name,address,city,state,zip_code,area_type,total_beneficiaries,total_discharges
50279,Hi-Desert Medical Center,6601 White Feather Road,Joshua Tree,CA,92252,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",303,378
50280,Mercy Medical Center Redding,"2175 Rosaline Ave, Clairmont Hgts",Redding,CA,96001,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3941,5380
50281,Alhambra Hospital Medical Center,100 S Raymond Ave,Alhambra,CA,91801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",787,932
50283,Stanford Health Care - Valleycare,5555 West Las Positas Boulevard,Pleasanton,CA,94588,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1922,2554
50289,Ahmc Seton Medical Center,1900 Sullivan Avenue,Daly City,CA,94015,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",634,871
50290,Saint John's Health Center,2121 Santa Monica Blvd,Santa Monica,CA,90404,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3718,4662
50291,Sutter Santa Rosa Regional Hospital,30 Mark West Springs Road,Santa Rosa,CA,95403,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2014,2640
50292,Riverside University Health System-Medical Center,26520 Cactus Avenue,Moreno Valley,CA,92555,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1721,2353
50295,Mercy Hospital,2215 Truxtun Avenue,Bakersfield,CA,93301,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1571,2063
50298,Barstow Community Hospital,820 E Mountain View Street,Barstow,CA,92311,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",228,295
50300,St Mary Medical Center,18300 Highway 18,Apple Valley,CA,92307,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1575,2133
50301,Adventist Health Ukiah Valley,275 Hospital Drive,Ukiah,CA,95482,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",808,1065
50305,Alta Bates Summit Medical Center - Alta Bates Camp,2450 Ashby Avenue,Berkeley,CA,94705,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1733,2122
50308,El Camino Hospital,2500 Grant Road,Mountain View,CA,94040,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4491,6156
50309,Sutter Roseville Medical Center,One Medical Plaza,Roseville,CA,95661,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5861,7996
50313,Sutter Tracy Community Hospital,1420 North Tracy Blvd,Tracy,CA,95376,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",731,982
50315,Kern Medical Center,1700 Mount Vernon Avenue,Bakersfield,CA,93306,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",763,1019
50320,Highland Hospital,1411 East 31st Street,Oakland,CA,94602,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1766,2424
50324,Scripps Memorial Hospital La Jolla,9888 Genesee Avenue,La Jolla,CA,92037,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5253,6704
50327,Loma Linda University Medical Center,11234 Anderson St,Loma Linda,CA,92354,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3373,4614
50329,Corona Regional Medical Center,800 South Main Street,Corona,CA,92882,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1041,1422
50334,Salinas Valley Memorial Hospital,450 East Romie Lane,Salinas,CA,93901,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2774,4110
50335,Adventist Health Sonora,1000 Greenley Road,Sonora,CA,95370,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1478,1927
50336,Adventist Health Lodi Memorial,975 S Fairmont Avenue,Lodi,CA,95240,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1652,2223
50342,Pioneers Memorial Healthcare District,207 West Legion Road,Brawley,CA,92227,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",627,810
50348,University Of California Irvine Medical Center,101 City Drive South,Orange,CA,92868,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3795,5003
50350,Adventist Health White Memorial Montebello,309 W Beverly Blvd,Montebello,CA,90640,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",715,947
50351,Torrance Memorial Medical Center,3330 Lomita Blvd,Torrance,CA,90509,Unknown,4350,5962
50352,Barton Memorial Hospital,2170 South Avenue,South Lake Tahoe,CA,96150,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",368,461
50353,Providence Little Company Of Mary Med Ctr Torrance,4101 Torrance Blvd,Torrance,CA,90503,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2362,3050
50357,Goleta Valley Cottage Hospital,351 S Patterson Ave,Santa Barbara,CA,93111,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",482,520
50360,Marinhealth Medical Center,"250 Bon Air Road, Po Box 8010",Greenbrae,CA,94904,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2728,3684
50367,Northbay Medical Center,1200 B  Gale Wilson Blvd,Fairfield,CA,94533,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2278,3475
50373,Los Angeles General Medical Center,"2051 Marengo St, Room C2k100",Los Angeles,CA,90033,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1813,2333
50376,Lac/Harbor-Ucla Med Center,1000 W Carson St,Torrance,CA,90502,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1370,1729
50378,Pacifica Hospital Of The Valley,9449 San Fernando Rd,Sun Valley,CA,91352,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",280,348
50380,Good Samaritan Hospital,2425 Samaritan Drive,San Jose,CA,95124,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3627,4852
50382,Emanate Health Inter-Community Hospital,210 W  San Bernardino Road,Covina,CA,91723,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2536,3713
50390,Hemet Global Medical Center,1117 East Devonshire,Hemet,CA,92543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1074,1465
50393,Pih Health Downey Hospital,11500 Brookshire Avenue,Downey,CA,90241,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1026,1440
50394,Community Memorial Hospital - Ventura,147 North Brent Street,Ventura,CA,93003,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2422,3224
50396,Santa Barbara Cottage Hospital,400 West Pueblo,Santa Barbara,CA,93102,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4588,6285
50407,Chinese Hospital,845 Jackson St,San Francisco,CA,94133,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",312,369
50411,Kaiser Foundation Hospital - South Bay,25825 South Vermont Avenue,Harbor City,CA,90710,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",450,586
50414,Mercy Hospital Of Folsom,1650 Creekside Drive,Folsom,CA,95630,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1603,2063
50417,Sutter Coast Hospital,800 E Washington Blvd,Crescent City,CA,95531,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",617,820
50423,Palo Verde Hospital,250 North First Street,Blythe,CA,92225,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",33,37
50424,Scripps Green Hospital,10666 North Torrey Pines Road,La Jolla,CA,92037,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2176,2639
50425,Kaiser Foundation Hospital - Sacramento,2025 Morse Avenue,Sacramento,CA,95825,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",691,837
50426,West Anaheim Medical Center,3033 W Orange Avenue,Anaheim,CA,92804,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1371,1799
50438,Huntington Hospital,100 W  California Blvd,Pasadena,CA,91109,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4151,5653
50441,Stanford Health Care,300 Pasteur Drive,Stanford,CA,94305,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8871,12360
50444,Mercy Medical Center,333 Mercy Avenue,Merced,CA,95340,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2024,2954
50454,Ucsf Medical Center,"505 Parnassus Ave, Box 0296",San Francisco,CA,94143,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6956,9373
50455,Adventist Health Bakersfield,2615 Chester Avenue,Bakersfield,CA,93301,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2125,2729
50457,St Mary's Medical Center,450 Stanyan St,San Francisco,CA,94117,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1086,1355
50464,Doctors Medical Center,1441 Florida Avenue,Modesto,CA,95350,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3016,3972
50468,Memorial Hospital Of Gardena,1145 W Redondo Beach Blvd,Gardena,CA,90247,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",833,1128
50471,Pih Health Good Samaritan Hospital,1225 Wilshire Boulevard,Los Angeles,CA,90017,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1892,2463
50481,West Hills Hospital & Medical Center,7300 Medical Center Dr,West Hills,CA,91307,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2291,3165
50485,Memorialcare Long Beach Medical Center,2801 Atlantic Ave,Long Beach,CA,90806,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2618,3360
50488,Eden Medical Center,20103 Lake Chabot Road,Castro Valley,CA,94546,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1975,2634
50492,Clovis Community Medical Center,2755 Herndon Ave,Clovis,CA,93611,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3657,5011
50496,John Muir Medical Center - Concord Campus,2540 East St,Concord,CA,94520,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3308,4469
50498,Sutter Auburn Faith Hospital,11815 Education Street,Auburn,CA,95603,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1035,1329
50503,Scripps Memorial Hospital - Encinitas,354 Santa Fe Drive,Encinitas,CA,92024,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3336,4459
50506,Tenet Health Central Coast Sierra Vista Rmc,1010 Murray Avenue,San Luis Obispo,CA,93405,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1094,1298
50510,Kaiser Foundation Hospital,99 Montecillo Rd,San Rafael,CA,94903,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",152,194
50512,Kaiser Foundation Hospital - Fremont,39400 Paseo Padre Pkwy,Fremont,CA,94538,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",196,233
50515,Kaiser Foundation Hospital - Zion,4647 Zion Ave,San Diego,CA,92120,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",843,1127
50516,Mercy San Juan Medical Center,6501 Coyle Ave,Carmichael,CA,95608,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3346,4553
50517,Victor Valley Global Medical Center,15248 11th St,Victorville,CA,92392,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",504,633
50523,Sutter Delta Medical Center,3901 Lone Tree Way,Antioch,CA,94509,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1199,1631
50526,Huntington Beach Hospital,17772 Beach Blvd,Huntington Beach,CA,92647,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",559,671
50528,Memorial Hospital Los Banos,520 West I St,Los Banos,CA,93635,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",319,397
50534,John F Kennedy Memorial Hospital,47111 Monroe Street,Indio,CA,92201,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",656,803
50537,Sutter Davis Hospital,2000 Sutter Place,Davis,CA,95616,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",780,1000
50541,Kaiser Foundation Hospital - Redwood City,1100 Veterans Boulevard,Redwood City,CA,94063,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",265,297
50543,College Hospital Costa Mesa,301 Victoria Street,Costa Mesa,CA,92627,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",60,82
50549,Los Robles Hospital & Medical Center,215 W Janss Rd,Thousand Oaks,CA,91360,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4665,6585
50551,Uci Health – Los Alamitos,3751 Katella Avenue,Los Alamitos,CA,90720,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2081,2683
50557,Memorial Medical Center,1700 Coffee Rd,Modesto,CA,95355,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3877,5617
50561,Kaiser Foundation Hospital - West La,6041 Cadillac Ave,Los Angeles,CA,90034,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",480,591
50567,Providence Mission Hospital,27700 Medical Center Rd,Mission Viejo,CA,92691,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3840,5010
50570,Uci Health – Fountain Valley,17100 Euclid Street,Fountain Valley,CA,92708,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2087,2737
50573,Eisenhower Medical Center,39-000 Bob Hope Drive,Rancho Mirage,CA,92270,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6174,8396
50580,La Palma Intercommunity Hospital,7901 Walker Street,La Palma,CA,90623,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",703,913
50581,Lakewood Regional Medical Center,3700 South St,Lakewood,CA,90712,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1300,1768
50586,Chino Valley Medical Center,5451 Walnut Ave,Chino,CA,91710,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",554,720
50588,San Dimas Community Hospital,1350 W Covina Blvd,San Dimas,CA,91773,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",587,745
50589,Uci Health – Placentia Linda,1301 N Rose Drive,Placentia,CA,92870,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",653,768
50590,Methodist Hospital Of Sacramento,7500 Hospital Drive,Sacramento,CA,95823,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1177,1612
50597,Emanate Health Foothill Presbyterian Hospital,250 S Grand Ave,Glendora,CA,91740,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",986,1269
50599,University Of California Davis Medical Center,2315 Stockton Boulevard,Sacramento,CA,95817,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5605,7845
50603,Memorialcare Saddleback Medical Center,24451 Health Center Drive,Laguna Hills,CA,92653,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",2027,2641
50604,Kaiser Foundation Hospital-San Jose,250 Hospital Parkway,San Jose,CA,95119,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",439,551
50608,Adventist Health Delano,1401 Garces Highway,Delano,CA,93215,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",288,370
50609,Kaiser Foundation Hospital - Orange County - Anahe,3440 E La Palma Ave,Anaheim,CA,92806,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",545,706
50624,Henry Mayo Newhall  Hospital,23845  Mcbean Pkwy,Valencia,CA,91355,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1688,2421
50625,Cedars-Sinai Medical Center,8700 Beverly Blvd,Los Angeles,CA,90048,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11855,16912
50633,Tenet Health Central Coast Twin Cities Comm Hosp,1100 Las Tablas Rd,Templeton,CA,93465,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1135,1530
50636,Palomar Medical Center Poway,15615 Pomerado Road,Poway,CA,92064,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1027,1302
50641,East Los Angeles Doctors Hospital,4060 Whittier Blvd,Los Angeles,CA,90023,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",194,231
50663,Los Angeles Community Hospital,4081 E Olympic Blvd,Los Angeles,CA,90023,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2230,2986
50668,Laguna Honda Hospital & Rehabilitation Center,375 Laguna Honda Blvd,San Francisco,CA,94116,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",61,98
50674,Kaiser Foundation Hosp So Sacramento,6600 Bruceville Road,Sacramento,CA,95823,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",773,965
50677,Kaiser Foundation Hospital - Woodland Hills,5601 De Soto Avenue,Woodland Hills,CA,91367,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",253,304
50678,Memorialcare Orange Coast Medical Center,9920 Talbert Avenue,Fountain Valley,CA,92708,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2190,2867
50684,Menifee Global Medical Center,28400 Mccall Boulevard,Sun City,CA,92585,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",281,331
50686,"Kaiser Foundation Hospital, Riverside",10800 Magnolia Avenue,Riverside,CA,92505,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",315,376
50689,San Ramon Regional Medical Center,6001 Norris Canyon Road,San Ramon,CA,94583,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1027,1362
50690,Kaiser Foundation Hospital-Santa Rosa,401 Bicentennial Way,Santa Rosa,CA,95403,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",229,292
50696,Keck Hospital Of Usc,1500 San Pablo Street,Los Angeles,CA,90033,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3199,4067
50697,Patients' Hospital Of Redding,2900 Eureka Way,Redding,CA,96001,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",79,80
50701,Southwest Healthcare Rancho Springs Hospital,25500 Medical Center Drive,Murrieta,CA,92562,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1675,2101
50704,Mission Community Hospital,14850 Roscoe Blvd,Panorama City,CA,91402,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1124,1429
50708,Fresno Surgical Hospital,6125 North Fresno St,Fresno,CA,93710,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",481,496
50709,Desert Valley Hospital,16850 Bear Valley Rd,Victorville,CA,92395,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1247,1771
50710,Kaiser Foundation Hospital - Fresno,7300 North Fresno St,Fresno,CA,93720,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",235,325
50714,Sutter Maternity & Surgery Center Of Santa Cruz,2900 Chanticleer Avenue,Santa Cruz,CA,95065,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",62,63
50717,Lac/Rancho Los Amigos National Rehabilitation  Ctr,7601 East Imperial Highway,Downey,CA,90242,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",124,134
50723,Kaiser Foundation Hospital - Baldwin Park,1011 Baldwin Park Blvd,Baldwin Park,CA,91706,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",405,503
50724,Bakersfield Heart Hospital,3001 Sillect Avenue,Bakersfield,CA,93308,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",618,747
50726,Stanislaus Surgical Hospital,1421 Oakdale Road,Modesto,CA,95355,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",71,73
50735,Whittier Hospital Medical Center,9080 Colima Rd,Whittier,CA,90605,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",660,840
50736,Monterey Park Hospital,900 S Atlantic Blvd,Monterey Park,CA,91754,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",416,528
50737,Garfield Medical Center,525 N Garfield Ave,Monterey Park,CA,91754,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1298,1603
50738,Greater El Monte Community Hospital,1701 Santa Anita Ave,South El Monte,CA,91733,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",430,513
50739,Centinela Hospital Medical Center,555 East Hardy Street,Inglewood,CA,90301,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1922,2912
50740,Cedar-Sinai Marina Del Rey Hospital,4650 Lincoln Blvd,Marina Del Rey,CA,90291,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1324,1737
50744,Anaheim Global Medical Center,1025 S Anaheim Blvd,Anaheim,CA,92805,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",141,161
50745,Chapman Global Medical Center,2601 E Chapman Ave,Orange,CA,92869,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",362,404
50746,Orange County Global Medical Center,1001 North Tustin Avenue,Santa Ana,CA,92705,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1093,1259
50747,South Coast Global Medical Center,2701 S Bristol St,Santa Ana,CA,92704,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",207,247
50748,Kaiser Foundation Hospital Manteca,1777 West Yosemite Ave,Manteca,CA,95337,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",344,454
50755,Sherman Oaks Hospital,4929 Van Nuys Blvd,Sherman Oaks,CA,91403,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1474,1856
50757,Alvarado Hospital Medical Center,6655 Alvarado Road,San Diego,CA,92120,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",721,899
50758,Montclair Hospital Medical Center,5000 San Bernardino St,Montclair,CA,91763,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",394,540
50760,Kaiser Foundation Hospital - Antioch,4501 Sand Creek Road,Antioch,CA,94531,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",407,550
50761,Providence Cedars Sinai Tarzana Medical Center,18321 Clark Street,Tarzana,CA,91356,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2873,3751
50763,L A Downtown Medical Center,1711 West Temple Street,Los Angeles,CA,90026,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2061,3108
50764,Shasta Regional Medical Center,1100 Butte St,Redding,CA,96001,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2224,2900
50765,Kaiser Foundation Hospital-Moreno Valley,27300 Iris Avenue,Moreno Valley,CA,92555,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",168,217
50766,Sutter Surgical Hospital - North Valley,455 Plumas Blvd,Yuba City,CA,95991,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",128,132
50767,Kaiser Foundation Hospital - Vacaville,1 Quality Drive,Vacaville,CA,95688,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",283,345
50769,Hoag Orthopedic Institute,16250 Sand Canyon Avenue,Irvine,CA,92618,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",914,989
50770,Loma Linda University Medical Center-Murrieta,28062 Baxter Road,Murrieta,CA,92563,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1778,2319
50771,Coast Plaza Hospital,13100 Studerbaker Road,Norwalk,CA,90650,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",531,671
50772,Kaiser Foundation Hospital - Roseville,1600 Eureka Road,Roseville,CA,95661,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",655,840
50775,Temecula Valley Hospital,31700 Temecula Pkwy,Temecula,CA,92592,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1691,2144
50776,College Medical Center,2776 Pacific Avenue,Long Beach,CA,90806,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",655,813
50777,Kaiser Foundation Hospital - San Leandro,2500 Merced Street,San Leandro,CA,94577,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",359,456
50778,Loma Linda University Children's Hospital,11234 Anderson Street Suite A,Loma Linda,CA,92354,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12,17
50779,"Martin Luther King, Jr. Community Hospital",1680 East 120th Street,Los Angeles,CA,90059,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",770,1051
50780,Foothill Regional Medical Center,14662 Newport Ave,Tustin,CA,92780,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",877,1177
50782,Casa Colina Hospital,255 E Bonita Ave,Pomona,CA,91767,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",196,211
50783,Colusa Medical Center,199 E Webster Street,Colusa,CA,95932,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",240,292
50784,Adventist Health Tulare,869 North Cherry Street,Tulare,CA,93274,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",344,422
50785,Docs Surgical Hospital,6000 San Vicente Blvd,Los Angeles,CA,90036,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",153,162
50854,"Anaheim Community Hospital, Llc",3350 W Ball Road,Anaheim,CA,92804,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",71,76
50855,Kaiser Foundation Hospital - San Marcos,360 Rush Dr,San Marcos,CA,92078,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",57,61
60001,Banner North Colorado Medical Center,1801 16th St,Greeley,CO,80631,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1107,1421
60003,Longmont United Hospital,1950 Mountain View Ave,Longmont,CO,80501,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",433,556
60004,Intermountain Health Platte Valley Hospital,1600 Prairie Center Pkwy,Brighton,CO,80601,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",360,452
60006,Montrose Regional Health,800 S 3rd St,Montrose,CO,81401,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",571,697
60008,San Luis Valley Health,106 Blanca Ave,Alamosa,CO,81101,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",302,356
60009,Lutheran Medical Center,8300 W 38th Ave,Wheat Ridge,CO,80033,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1580,1993
60010,Poudre Valley Hospital,1024 S Lemay Ave,Fort Collins,CO,80524,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2269,2853
60011,Denver Health Medical Center,777 Bannock St,Denver,CO,80204,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",786,1022
60012,St Mary-Corwin Hospital,1008 Minnequa Ave,Pueblo,CO,81004,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",316,383
60013,Mercy Hospital,1010 Three Springs Blvd,Durango,CO,81301,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1128,1359
60014,Presbyterian/St Luke's Medical Center,1719 E 19th Ave,Denver,CO,80218,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",970,1325
60015,St Anthony Hospital,11600 W 2nd Pl,Lakewood,CO,80228,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2617,3318
60020,"Parkview Medical Center, Inc",400 W 16th St,Pueblo,CO,81003,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2358,3222
60022,University Colo Health Memorial Hospital Central,1400 E Boulder St,Colorado Springs,CO,80909,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4960,6548
60023,St Marys Medical Center,2635 N 7th St,Grand Junction,CO,81501,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2327,2836
60024,University Of Colorado Hospital Authority,12605 E 16th Ave,Aurora,CO,80045,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5244,7074
60027,Foothills Hospital,4747 Arapahoe Ave,Boulder,CO,80303,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1912,2505
60028,Saint Joseph Hospital,1375 E 19th Ave,Denver,CO,80218,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1233,1448
60030,Banner Mckee Medical Center,2000 Boise Ave,Loveland,CO,80538,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",392,499
